Cod Partener,Beneficiar,categorie_contaminata,expunere_mil_lei,contragarantii,scor_serv_datorie,are_restante_peste_30_zile,total_incidente,total_incidente_majore,Este_in_interdictie,A_fost_interdictie,scor_serv_prel,mean_encode_categ_contaminata_1Y,prob_1Y_CRC,prob_1Y_no_crc,prob_1Y,stage,data_raport
9059536,PRAIR SRL,standard,0.00911698,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019354107556739115,0.019354107556739115,1,2021-10-31
9059936,LEXONN SRL,standard,0.48,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019097636839056693,0.024356288550814047,0.019097636839056693,1,2021-10-31
9060126,AS WORLD CARGO SRL,standard,0.8,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019286099412697957,0.028453778745727177,0.019286099412697957,1,2021-10-31
9060244,ISTRA SRL,insolventa,0.10641687,0,0.00707698795986278,1,28,15,0,0,0.00707698795986278,0.0289517205650865,0.39015550757642553,0.09996512306315294,0.39015550757642553,3,2021-10-31
9060375,MOARA TODIRENI SRL,cerere_plata,0.07798371000000001,116975.565,0,1,24,18,0,0,0,0,0.4046145707657259,0.10363817321543017,0.4046145707657259,3,2021-10-31
9060806,ACM GRUP SRL,standard,0.25,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018963295933421512,0.021772566548544894,0.018963295933421512,1,2021-10-31
9061195,PEST END SRL,insolventa,0.00550711,0,NA,NA,0,0,0,0,NA,0.0289517205650865,NA,0.09552451490164271,0.09552451490164271,3,2021-10-31
9061350,VIORELIA COMIMPEX SRL,standard,0.24,0,0.5,0,2,2,0,0,0.5,0.923187279574391,0.018998982083949442,0.02166652722762534,0.018998982083949442,1,2021-10-31
9061404,MASTER SPORT SRL,standard,0.30548281,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018995617878039224,0.02237018319912616,0.018995617878039224,1,2021-10-31
9061579,ANRO ART SRL,cerere_plata,2.177516,871006.4,0,1,0,0,0,0,0,0,0.4140285695939183,0.2479373175326169,0.4140285695939183,3,2021-10-31
9061684,ARMTECH SA,standard,0.1176,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.0188863830422315,0.020408841037808136,0.0188863830422315,1,2021-10-31
9062051,ZOOTEHNICA LOVEZINO SRL,instiintare_neplata,0.14785913,0,0.19092919510428186,1,3,2,0,0,0.19092919510428186,0.0478609998605216,0.18869144957646863,0.09863923059892046,0.18869144957646863,2,2021-10-31
9062303,SALIX FARM SRL,standard,0.04858974,38871.784,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018846415455348698,0.019731552826690476,0.018846415455348698,1,2021-10-31
9062426,ENO TOOLS SRL,standard,0.1,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018876182037166712,0.020233976751597535,0.018876182037166712,1,2021-10-31
9062702,EUROPOINT SRL,standard,0.01458334,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019405952547346797,0.019405952547346797,1,2021-10-31
9062792,A&C TRANS SRL,standard,0.08,0,0.5,0,1,1,0,0,0.5,0.923187279574391,0.018885238746960333,0.020037048079322033,0.018885238746960333,1,2021-10-31
9063777,ZIRA COM SRL,standard,0.035,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018838554681362342,0.019600798182772022,0.018838554681362342,1,2021-10-31
9180991,"NATURAL COM SRL",standard,0.41231859000000004,309239.0325,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019058008136372984,0.02356640531662532,0.019058008136372984,1,2021-10-31
9419070,AGROLACT INVEST SRL,standard,0.0116359,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019377981041342966,0.019377981041342966,1,2021-10-31
9578033,MEDICO FARMACEUTIC DENYRO SRL,standard,1.6,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019765268001444975,0.04183209900090848,0.019765268001444975,1,2021-10-31
9637510,DORU-MAR TRANS SRL,cerere_plata,1,600000,0,1,0,0,0,0,0,0,0.40511957977841906,0.15481874760988695,0.40511957977841906,3,2021-10-31
9637702,EUROCONSULT SRL,cerere_plata,0.57975637,347853.822,0,1,0,0,0,0,0,0,0.4019547993120769,0.1293156435562991,0.4019547993120769,3,2021-10-31
9638074,DEVEROM MECANO SRL,standard,0.119,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01888719471792099,0.02042281406203548,0.01888719471792099,1,2021-10-31
9638226,FOCSA & SON SERVICE SRL,instiintare_neplata,0.014255120000000001,10691.3325,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.092867643036429,0.092867643036429,1,2021-10-31
9638243,J&B SALUBRY SRL,cerere_plata,0.08290572,66324.544,0,1,0,0,0,0,0,0,0.3982236366510648,0.1038665868700874,0.3982236366510648,3,2021-10-31
9638277,"NAJAR GRUP SRL",insolventa,0.08307008,0,0,1,4,3,0,0,0,0.0289517205650865,0.39247248415775826,0.09892169086574043,0.39247248415775826,3,2021-10-31
9638500,ANDRALEX TRADE SRL,cerere_plata,0.47776523,0,0,1,1,0,0,0,0,0,0.40145575547095225,0.12369199639777372,0.40145575547095225,3,2021-10-31
9638543,SIRROCCO INVEST SRL,standard,1.83444,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019907885347294402,0.04678137205435874,0.019907885347294402,1,2021-10-31
